"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000245532",102393.868891276,10.5239247581193,0.316777687198928,33.2217993356034,5.21591916729589e-242,1.25098605308425e-237
"ENSG00000119139",2352.29512690518,6.87352210773444,0.363585153674245,18.9048481167985,1.04038693889601e-79,1.24763201712409e-75
"ENSG00000091409",1682.46696930947,8.24901137203753,0.448238594441901,18.4031707093592,1.23898238848077e-75,9.90525120177424e-72
"ENSG00000189143",1524.81092816725,7.69436154035446,0.432951756647652,17.7718681636309,1.16737529241978e-70,6.99958225334899e-67
"ENSG00000138119",8872.1050166409,7.14641229190915,0.417930966756025,17.0995041295444,1.49672321499629e-65,7.1794819176942e-62
"ENSG00000131724",1180.84183730324,7.4914051235791,0.444098656026177,16.8687858472995,7.63496076750314e-64,3.05194831746326e-60
"ENSG00000003436",862.329894064168,7.88070599958909,0.472294857634261,16.6859873068781,1.65743122924256e-62,5.41450373907574e-59
"ENSG00000181019",1240.17450379354,7.03439983084876,0.421704897227587,16.6808587642567,1.80603860542887e-62,5.41450373907574e-59
"ENSG00000079819",744.775911407742,6.57935460348061,0.415014081049055,15.8533286071875,1.33327772491035e-56,3.55303699491664e-53
"ENSG00000102362",697.03697273409,7.43629415374321,0.476497608332807,15.6061521059081,6.61055226466316e-55,1.58547485515681e-51
"ENSG00000083857",2636.57489196824,8.38238523207558,0.538441133734852,15.5678767963582,1.20335764912111e-54,2.6237572596837e-51
"ENSG00000277599",1054.22065776373,7.45975542066635,0.480820660564634,15.5146316131804,2.76215418064947e-54,5.52062548905807e-51
"ENSG00000285130",2289.268087546,6.01326380629834,0.391675046387755,15.3526855023214,3.39822620761719e-53,6.26946595103774e-50
"ENSG00000138772",596.720720248903,7.07761261912285,0.467475674567376,15.1400661129006,8.81250656758696e-52,1.50970826797861e-48
"ENSG00000214049",10312.9121703061,17.8055700319594,1.17860375970435,15.1073419589513,1.44866506392667e-51,2.31631885954781e-48
"ENSG00000113657",9717.00644121256,-6.45990574909891,0.433476447262273,-14.902553045034,3.17222730490075e-50,4.75516873004623e-47
"ENSG00000278144",596.192836162345,6.4103000261633,0.430923460569276,14.8757276238683,4.73805729962433e-50,6.68456272201117e-47
"ENSG00000107957",3068.12073069766,-5.96643307265355,0.403465782683779,-14.7879531021589,1.75201258439124e-49,2.33445943466886e-46
"ENSG00000181143",5490.8694460394,16.8962256548364,1.18013359278856,14.3172143883406,1.70834666419129e-46,2.15647296810337e-43
"ENSG00000073792",1530.25443128669,5.19276908274316,0.371597484354224,13.9741771712135,2.24088491903829e-44,2.68726919491072e-41
